G,P,N,A
0,365,746,1364
0,366,745,1364
0,371,745,1369
0,371,748,1369
0,372,748,1374
0,367,748,1374
0,372,748,1379
0,372,746,1379
0,372,746,1379
0,372,746,1384
0,372,746,1389
0,372,749,1389
0,372,749,1394
0,372,749,1394
0,372,749,1394
0,372,747,1399
0,373,747,1404
0,373,747,1414
0,373,747,1424
0,374,749,1434
0,374,749,1439
0,374,750,1444
0,374,750,1444
0,374,748,1444
0,374,748,1449
0,373,747,1449
0,373,747,1449
0,373,749,1454
0,373,749,1459
0,373,749,1464
0,373,749,1464
0,373,747,1464
0,373,747,1464
0,373,747,1464
0,373,747,1464
0,373,750,1469
0,378,750,1469
0,378,751,1474
0,378,751,1474
0,378,749,1479
0,378,749,1479
0,378,748,1479
0,378,748,1479
0,373,750,1484
0,373,750,1484
0,374,750,1484
0,374,750,1484
0,374,748,1489
0,374,748,1494
0,375,746,1494
0,375,746,1494
0,375,748,1499
0,375,748,1499
0,375,749,1499
0,375,749,1499
0,375,746,1504
0,375,746,1509
0,375,746,1509
0,370,746,1509
0,375,748,1509
0,370,748,1509
0,371,749,1509
0,371,749,1514
0,376,747,1514
0,376,747,1519
0,371,746,1524
0,376,746,1529
0,371,749,1529
0,376,749,1529
0,376,750,1529
0,376,750,1529
0,376,748,1529
0,376,748,1529
0,376,746,1529
0,377,746,1524
0,377,749,1524
0,377,749,1524
0,377,750,1524
0,378,750,1524
0,378,747,1524
0,378,747,1519
0,378,746,1519
0,378,746,1524
0,378,749,1524
0,378,749,1529
0,378,751,1529
0,378,751,1534
0,378,748,1539
0,378,748,1544
0,378,747,1549
0,378,747,1549
0,379,749,1554
0,379,749,1559
0,379,750,1559
0,380,750,1559
0,380,747,1564
0,380,747,1569
0,380,746,1574
0,380,746,1579
0,380,748,1584
0,380,748,1589
0,380,749,1589
0,380,749,1594
0,380,747,1594
0,381,747,1599
0,381,745,1599
0,381,745,1599
0,382,747,1604
0,382,747,1604
0,382,748,1604
0,382,748,1609
0,382,746,1609
0,382,746,1614
0,382,745,1619
0,383,745,1624
0,383,748,1629
0,383,748,1634
0,383,749,1634
0,383,749,1634
0,383,748,1639
0,384,748,1644
0,384,746,1644
0,384,746,1649
0,385,749,1649
0,385,749,1654
0,385,749,1654
0,385,749,1654
0,385,747,1654
